input,IP,basename,Group
SRR800709,SRR800661,DPY26_embryo_N2,1
SRR800713,SRR800662,DPY26_embryo_N2,1
SRR800714,SRR800663,DPY26_embryo_N2,1
SRR800713,SRR800664,DPY26_embryo_N2,1
SRR800714,SRR800665,DPY26_embryo_N2,1
SRR915706,SRR800666,DPY26_embryo_TY1072,2
SRR800729,SRR800667,DPY26_embryo_TY1072,2
SRR800707,SRR800653,CAPG1_embryo_N2,3
SRR800712,SRR800654,CAPG1_embryo_N2,3
SRR800715,SRR800655,CAPG1_embryo_N2,3
SRR800709,SRR800668,DPY27_embryo_N2,4
SRR800721,SRR800669,DPY27_embryo_N2,4
SRR800720,SRR800670,DPY27_embryo_N2,4
SRR800719,SRR800671,DPY27_embryo_N2,4
SRR800712,SRR800672,DPY28_embryo_N2,5
SRR800711,SRR800673,DPY28_embryo_N2,5
SRR800719,SRR800674,DPY28_embryo_N2,5
SRR800719,SRR800675,DPY28_embryo_N2,5
SRR800709,SRR800692,MIX1_embryo_N2,6
SRR800710,SRR800693,MIX1_embryo_N2,6
SRR800715,SRR800694,MIX1_embryo_N2,6
SRR800711,SRR800695,MIX1_embryo_N2,6
SRR800713,SRR800696,MIX1_embryo_N2,6
SRR800716,SRR800702,SMC4_embryo_N2,7
SRR800716,SRR800703,SMC4_embryo_N2,7
SRR800719,SRR800704,SMC4_embryo_N2,7
SRR800716,SRR800657,CAPG2_embryo_N2,8
SRR800716,SRR800658,CAPG2_embryo_N2,8
SRR800719,SRR800660,CAPG2_embryo_N2,8
SRR800715,SRR800684,KLE2_embyo_N2,9
SRR800711,SRR800685,KLE2_embyo_N2,9
SRR915707,SRR915703,KLE2_embryo_TY1072,10
SRR800729,SRR915704,KLE2_embryo_TY1072,10
SRR800717,SRR800676,HCP6_embryo_N2,11
SRR800718,SRR800677,HCP6_embryo_N2,11
SRR800716,SRR800679,HCP6_embryo_N2,11
SRR915706,SRR800680,HCP6_embryo_TY1072,12
SRR800729,SRR800681,HCP6_embryo_TY1072,12