"order"	"DCC.id"	"Name"	"developmental.stage"	"antibody"	"target"	"strain"	"temperature"	"GEO"	"Input_SRR"	"IP_SRR"	"input_1"	"ip_1"	"name_1"	"genotype_1"	"strain_1"	"stage_1"	"sex_1"	"replicate_1"	"group_1"
1	"modENCODE_6325"	"seq-302-32369 H3K9me2 ojIs9 YA germline"	"Germline containing young adult "	"WA30232369_H3K9me2"	"H3K9me2 "	"WH223 zyg-12 "	"20 degree celsius "	"GSM1217525;GSM1217526;GSM1217527;GSM1217528"	"SRR1198637;SRR1198638"	"SRR1198639;SRR1198640"	"SRR1198637"	"SRR1198639"	"seq-302-32369_H3K9me2_ojIs9_YA_germline_Input_Rep1;seq-302-32369_H3K9me2_ojIs9_YA_germline_ChIP_Rep1"	"ojIs9 [zyg-12(all)::GFP + unc-119(+)]."	"WH223"	"Germline containing young adult"	"hermaphrodite"	"rep1"	1
1	"modENCODE_6325"	"seq-302-32369 H3K9me2 ojIs9 YA germline"	"Germline containing young adult "	"WA30232369_H3K9me2"	"H3K9me2 "	"WH223 zyg-12 "	"20 degree celsius "	"GSM1217525;GSM1217526;GSM1217527;GSM1217528"	"SRR1198637;SRR1198638"	"SRR1198639;SRR1198640"	"SRR1198638"	"SRR1198640"	"seq-302-32369_H3K9me2_ojIs9_YA_germline_Input_Rep2;seq-302-32369_H3K9me2_ojIs9_YA_germline_ChIP_Rep2"	"ojIs9 [zyg-12(all)::GFP + unc-119(+)]."	"WH223"	"Germline containing young adult"	"hermaphrodite"	"rep2"	1
2	"modENCODE_5152"	"seq-ab1191 H3K18ac GR311521 N2 Eemb"	"Early Stage Embryos "	"ab1191-H3K18ac-GR311521"	"his-2"	"N2 "	"20 degree celsius "	"GSM1206336;GSM1206337;GSM1206338;GSM1206339"	"SRR1163573;SRR1163574"	"SRR1163575;;SRR1163576"	"SRR1163573"	"SRR1163575"	"seq-ab1191_H3K18ac_GR311521_N2_Eemb_Input_Rep1;seq-ab1191_H3K18ac_GR311521_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	2
2	"modENCODE_5152"	"seq-ab1191 H3K18ac GR311521 N2 Eemb"	"Early Stage Embryos "	"ab1191-H3K18ac-GR311521"	"his-2"	"N2 "	"20 degree celsius "	"GSM1206336;GSM1206337;GSM1206338;GSM1206339"	"SRR1163573;SRR1163574"	"SRR1163575;;SRR1163576"	"SRR1163574"	"SRR1163576"	"seq-ab1191_H3K18ac_GR311521_N2_Eemb_Input_Rep2;seq-ab1191_H3K18ac_GR311521_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	2
3	"modENCODE_5046"	"seq-AB1191 H3K18ac GR311521 N2 L3"	"L3 Larval Stage "	"ab1191-H3K18ac-GR311521 "	"his-2"	"N2 "	"20 degree celsius "	"GSM1206312;GSM1206313;GSM1206314;GSM1206315"	"SRR1163549;SRR1163550"	"SRR1163551;SRR1163552"	"SRR1163549"	"SRR1163551"	"seq-AB1191_H3K18ac_GR311521_N2_L3_Input_Rep1;seq-AB1191_H3K18ac_GR311521_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	3
3	"modENCODE_5046"	"seq-AB1191 H3K18ac GR311521 N2 L3"	"L3 Larval Stage "	"ab1191-H3K18ac-GR311521 "	"his-2"	"N2 "	"20 degree celsius "	"GSM1206312;GSM1206313;GSM1206314;GSM1206315"	"SRR1163549;SRR1163550"	"SRR1163551;SRR1163552"	"SRR1163550"	"SRR1163552"	"seq-AB1191_H3K18ac_GR311521_N2_L3_Input_Rep2;seq-AB1191_H3K18ac_GR311521_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	3
4	"modENCODE_5149"	"seq-ab12181 H3K9acS10ph 873968 N2 Eemb"	"Early Stage Embryos "	"ab12181-H3K9acS10ph-873968"	"his-2"	"N2 "	"20 degree celsius "	"GSM1206328;GSM1206329;GSM1206330;GSM1206331"	"SRR1163565;SRR1163566"	"SRR1163567;SRR1163568"	"SRR1163565"	"SRR1163567"	"seq-ab12181_H3K9acS10ph_873968_N2_Eemb_Input_Rep1;seq-ab12181_H3K9acS10ph_873968_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	4
4	"modENCODE_5149"	"seq-ab12181 H3K9acS10ph 873968 N2 Eemb"	"Early Stage Embryos "	"ab12181-H3K9acS10ph-873968"	"his-2"	"N2 "	"20 degree celsius "	"GSM1206328;GSM1206329;GSM1206330;GSM1206331"	"SRR1163565;SRR1163566"	"SRR1163567;SRR1163568"	"SRR1163566"	"SRR1163568"	"seq-ab12181_H3K9acS10ph_873968_N2_Eemb_Input_Rep2;seq-ab12181_H3K9acS10ph_873968_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	4
5	"modENCODE_5988"	"seq-ab12181 lot873968 H3K9acS10 N2 L3"	"L3 Larval Stage "	"ab12181-H3K9acS10ph-873968"	"his-2"	"N2 "	"20 degree celsius "	"GSM1195419;GSM1195420;GSM1195421;GSM1195422"	"SRR947582;SRR947583"	"SRR947584;SRR947585"	"SRR947582"	"SRR947584"	"seq-ab12181_H3K9acS10_873968_N2_L3_Input_Rep1;seq-ab12181_H3K9acS10_873968_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	5
5	"modENCODE_5988"	"seq-ab12181 lot873968 H3K9acS10 N2 L3"	"L3 Larval Stage "	"ab12181-H3K9acS10ph-873968"	"his-2"	"N2 "	"20 degree celsius "	"GSM1195419;GSM1195420;GSM1195421;GSM1195422"	"SRR947582;SRR947583"	"SRR947584;SRR947585"	"SRR947583"	"SRR947585"	"seq-ab12181_H3K9acS10_873968_N2_L3_Input_Rep2;seq-ab12181_H3K9acS10_873968_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	5
6	"modENCODE_5162"	"seq-ab15823 H4K8ac 487128 N2 Eemb"	"Early Stage Embryos "	"ab15823-H4K8ac "	"H4K8ac"	"N2 "	"20 degree celsius "	"GSM1206360;GSM1206361;GSM1206362;GSM1206363"	"SRR1163597;SRR1163598"	"SRR1163599;SRR1163600"	"SRR1163597"	"SRR1163599"	"seq-ab15823_H4K8ac_487128_N2_Eemb_Input_Rep1;seq-ab15823_H4K8ac_487128_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	6
6	"modENCODE_5162"	"seq-ab15823 H4K8ac 487128 N2 Eemb"	"Early Stage Embryos "	"ab15823-H4K8ac "	"H4K8ac"	"N2 "	"20 degree celsius "	"GSM1206360;GSM1206361;GSM1206362;GSM1206363"	"SRR1163597;SRR1163598"	"SRR1163599;SRR1163600"	"SRR1163598"	"SRR1163600"	"seq-ab15823_H4K8ac_487128_N2_Eemb_Input_Rep2;seq-ab15823_H4K8ac_487128_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	6
7	"modENCODE_6002"	"seq-ab15823 H4K8ac 487128 N2 L3"	"L3 Larval Stage "	"MYS-3_SDQ3526 "	"MYS-3 "	"N2 "	"20 degree celsius "	"GSM1217393;GSM1217394;GSM1217395;GSM1217396"	"SRR1198506;SRR1198507"	"SRR1198508;SRR1198509"	"SRR1198506"	"SRR1198508"	"seq-ab15823_H4K8ac_487128_N2_L3_Input_Rep1;seq-ab15823_H4K8ac_487128_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	7
7	"modENCODE_6002"	"seq-ab15823 H4K8ac 487128 N2 L3"	"L3 Larval Stage "	"MYS-3_SDQ3526 "	"MYS-3 "	"N2 "	"20 degree celsius "	"GSM1217393;GSM1217394;GSM1217395;GSM1217396"	"SRR1198506;SRR1198507"	"SRR1198508;SRR1198509"	"SRR1198507"	"SRR1198509"	"seq-ab15823_H4K8ac_487128_N2_L3_Input_Rep2;seq-ab15823_H4K8ac_487128_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	7
8	"modENCODE_5031"	"seq-ab1791 H3 377098 N2 Eemb"	"Early Stage Embryos "	"C. elegans AB1791_H3 rabbit polyclonal antibody "	"Histone H3 "	"N2 "	"20 degree celsius "	"GSM1217247;GSM1217248;GSM1217249;GSM1217250"	"SRR1198364;SRR1198365"	"SRR1198366;SRR1198367"	"SRR1198364"	"SRR1198366"	"seq-ab1791_H3_377098_N2_Eemb_Input_Rep1;seq-ab1791_H3_377098_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite"	"rep1"	8
8	"modENCODE_5031"	"seq-ab1791 H3 377098 N2 Eemb"	"Early Stage Embryos "	"C. elegans AB1791_H3 rabbit polyclonal antibody "	"Histone H3 "	"N2 "	"20 degree celsius "	"GSM1217247;GSM1217248;GSM1217249;GSM1217250"	"SRR1198364;SRR1198365"	"SRR1198366;SRR1198367"	"SRR1198365"	"SRR1198367"	"seq-ab1791_H3_377098_N2_Eemb_Input_Rep2;seq-ab1791_H3_377098_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite"	"rep2"	8
9	"modENCODE_5170"	"seq-ab2621 H3K79me3 361576 N2 Eemb"	"Early Stage Embryos "	"AB2621 H3K79me3:361576 "	"H3K79me3 "	"N2 "	"20 degree celsius "	"GSM1206384;GSM1206385;GSM1206386;GSM1206387"	"SRR1163621;SRR1163622"	"SRR1163623;SRR1163624"	"SRR1163621"	"SRR1163623"	"seq-ab2621_H3K79me3_361576_N2_Eemb_Input_Rep1;seq-ab2621_H3K79me3_361576_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	9
9	"modENCODE_5170"	"seq-ab2621 H3K79me3 361576 N2 Eemb"	"Early Stage Embryos "	"AB2621 H3K79me3:361576 "	"H3K79me3 "	"N2 "	"20 degree celsius "	"GSM1206384;GSM1206385;GSM1206386;GSM1206387"	"SRR1163621;SRR1163622"	"SRR1163623;SRR1163624"	"SRR1163622"	"SRR1163624"	"seq-ab2621_H3K79me3_361576_N2_Eemb_Input_Rep2;seq-ab2621_H3K79me3_361576_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	9
10	"modENCODE_5032"	"seq-AB2621 H3K79me3 361576 N2 L3"	"L3 Larval Stage "	"AB2621 H3K79me3:361576 "	"H3K79me3 "	"N2 "	"20 degree celsius "	"GSM1206284;GSM1206285;GSM1206286;GSM1206287"	"SRR1163521;SRR1163522"	"SRR1163523;SRR1163524"	"SRR1163521"	"SRR1163523"	"seq-AB2621_H3K79me3:361576_N2_L3_Input_Rep1;seq-AB2621_H3K79me3:361576_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	10
10	"modENCODE_5032"	"seq-AB2621 H3K79me3 361576 N2 L3"	"L3 Larval Stage "	"AB2621 H3K79me3:361576 "	"H3K79me3 "	"N2 "	"20 degree celsius "	"GSM1206284;GSM1206285;GSM1206286;GSM1206287"	"SRR1163521;SRR1163522"	"SRR1163523;SRR1163524"	"SRR1163522"	"SRR1163524"	"seq-AB2621_H3K79me3:361576_N2_L3_Input_Rep2;seq-AB2621_H3K79me3:361576_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	10
11	"modENCODE_5173"	"seq-Ab2621 H3K79me3 FEM2 AD"	"Germline containing young adult "	"AB2621 H3K79me3:361576 "	"H3K79me3 "	"DH245 "	"20 degree celsius "	"GSM1195411;GSM1195412;GSM1195413;GSM1195414"	"SRR1030714;SRR1030713"	"NA;SRR1030715"	"SRR1030714"	"SRR1030715"	"seq-Ab2621_H3K79me3_FEM2_AD_Input_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	11
11	"modENCODE_5173"	"seq-Ab2621 H3K79me3 FEM2 AD"	"Germline containing young adult "	"AB2621 H3K79me3:361576 "	"H3K79me3 "	"DH245 "	"20 degree celsius "	"GSM1195411;GSM1195412;GSM1195413;GSM1195414"	"SRR1030714;SRR1030713"	"NA;SRR1030715"	"SRR1030713"	"SRR1030715"	"seq-Ab2621_H3K79me3_FEM2_AD_Input_Rep2;seq-Ab2621_H3K79me3_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	11
12	"modENCODE_5168"	"seq-ab2886 H3K79me1 361912 N2 Eemb"	"Early Stage Embryos "	"AB2886 H3K79me1:361912 "	"H3K79me1 "	"N2 "	"20 degree celsius "	"GSM1206376;GSM1206377;GSM1206378;GSM1206379"	"SRR1163613;SRR1163614"	"SRR1163615;SRR1163616"	"SRR1163613"	"SRR1163615"	"seq-ab2886_H3K79me1_361912_N2_Eemb_Input_Rep1;seq-ab2886_H3K79me1_361912_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	12
12	"modENCODE_5168"	"seq-ab2886 H3K79me1 361912 N2 Eemb"	"Early Stage Embryos "	"AB2886 H3K79me1:361912 "	"H3K79me1 "	"N2 "	"20 degree celsius "	"GSM1206376;GSM1206377;GSM1206378;GSM1206379"	"SRR1163613;SRR1163614"	"SRR1163615;SRR1163616"	"SRR1163614"	"SRR1163616"	"seq-ab2886_H3K79me1_361912_N2_Eemb_Input_Rep2;seq-ab2886_H3K79me1_361912_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	12
13	"modENCODE_5169"	"seq-ab3594 H3K79me2 346021 N2 Eemb"	"Early Stage Embryos "	"AB3594 H3K79me2:346021 "	"H3K79me2 "	"N2 "	"20 degree celsius "	"GSM1206380;GSM1206381;GSM1206382;GSM1206383"	"SRR1163617;SRR1163618"	"SRR1163619;SRR1163620"	"SRR1163617"	"SRR1163619"	"seq-ab3594_H3K79me2_346021_N2_Eemb_Input_Rep1;seq-ab3594_H3K79me2_346021_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	13
13	"modENCODE_5169"	"seq-ab3594 H3K79me2 346021 N2 Eemb"	"Early Stage Embryos "	"AB3594 H3K79me2:346021 "	"H3K79me2 "	"N2 "	"20 degree celsius "	"GSM1206380;GSM1206381;GSM1206382;GSM1206383"	"SRR1163617;SRR1163618"	"SRR1163619;SRR1163620"	"SRR1163618"	"SRR1163620"	"seq-ab3594_H3K79me2_346021_N2_Eemb_Input_Rep2;seq-ab3594_H3K79me2_346021_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	13
14	"modENCODE_5047"	"seq-AB3594 H3K79me2 346021 N2 L3"	"L3 Larval Stage "	"AB3594 H3K79me2:346021 "	"H3K79me2 "	"N2 "	"20 degree celsius "	"GSM1206316;GSM1206317;GSM1206318;GSM1206319"	" SRR1163553;SRR1163554"	"SRR1163555;SRR1163556"	"SRR1163553"	"SRR1163555"	"seq-AB3594_H3K79me2:346021_N2_L3_Input_Rep1;seq-AB3594_H3K79me2:346021_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	14
14	"modENCODE_5047"	"seq-AB3594 H3K79me2 346021 N2 L3"	"L3 Larval Stage "	"AB3594 H3K79me2:346021 "	"H3K79me2 "	"N2 "	"20 degree celsius "	"GSM1206316;GSM1206317;GSM1206318;GSM1206319"	" SRR1163553;SRR1163554"	"SRR1163555;SRR1163556"	"SRR1163554"	"SRR1163556"	"seq-AB3594_H3K79me2:346021_N2_L3_Input_Rep2;seq-AB3594_H3K79me2:346021_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	14
15	"modENCODE_5252"	"seq-ab45142 H2AK5ac FEM2 YA"	"Germline containing young adult "	"H2AK5ac_ab45142 "	"H2AK5ac "	"DH245 "	"20 degree celsius "	"GSM1217357;GSM1217358;GSM1217359;GSM1217360"	"SRR1198471;SRR1198472"	"SRR1198473;SRR1198474"	"SRR1198471"	"SRR1198473"	"seq-ab45142_H2AK5ac_FEM2_YA_Input_Rep1;seq-ab45142_H2AK5ac_FEM2_YA_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	15
15	"modENCODE_5252"	"seq-ab45142 H2AK5ac FEM2 YA"	"Germline containing young adult "	"H2AK5ac_ab45142 "	"H2AK5ac "	"DH245 "	"20 degree celsius "	"GSM1217357;GSM1217358;GSM1217359;GSM1217360"	"SRR1198471;SRR1198472"	"SRR1198473;SRR1198474"	"SRR1198472"	"SRR1198474"	"seq-ab45142_H2AK5ac_FEM2_YA_Input_Rep2;seq-ab45142_H2AK5ac_FEM2_YA_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	15
16	"modENCODE_5251"	"seq-ab45142 H2AK5ac ojIs9 YA germline"	"Germline containing young adult "	"H2AK5ac_ab45142 "	"H2AK5ac "	"WH223 zyg-12 "	"20 degree celsius "	"GSM1217353;GSM1217354;GSM1217355;GSM1217356"	"SRR1198467;SRR1198468"	"SRR1198469;SRR1198470"	"SRR1198467"	"SRR1198469"	"seq-ab45142_H2AK5ac_ojIs9_YA_germline_Input_Rep1;seq-ab45142_H2AK5ac_ojIs9_YA_germline_ChIP_Rep1"	"ojIs9 [zyg-12(all)::GFP + unc-119(+)]."	"WH223"	"Germline containing young adult"	"hermaphrodite"	"rep1"	16
16	"modENCODE_5251"	"seq-ab45142 H2AK5ac ojIs9 YA germline"	"Germline containing young adult "	"H2AK5ac_ab45142 "	"H2AK5ac "	"WH223 zyg-12 "	"20 degree celsius "	"GSM1217353;GSM1217354;GSM1217355;GSM1217356"	"SRR1198467;SRR1198468"	"SRR1198469;SRR1198470"	"SRR1198468"	"SRR1198470"	"seq-ab45142_H2AK5ac_ojIs9_YA_germline_Input_Rep2;seq-ab45142_H2AK5ac_ojIs9_YA_germline_ChIP_Rep2"	"ojIs9 [zyg-12(all)::GFP + unc-119(+)]."	"WH223"	"Germline containing young adult"	"hermaphrodite"	"rep2"	16
17	"modENCODE_5174"	"seq-Ab52946 H3K14ac FEM2 AD"	"Germline containing young adult "	"H3K14ac_ab52946 "	"H3K14ac "	"DH245 "	"20 degree celsius "	"GSM1217271;GSM1217272;GSM1217273;GSM1217274"	"SRR1198388;SRR1198389"	"SRR1198390;SRR1198391"	"SRR1198388"	"SRR1198390"	"seq-Ab52946_H3K14ac_FEM2_AD_Input_Rep1;seq-Ab52946_H3K14ac_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	17
17	"modENCODE_5174"	"seq-Ab52946 H3K14ac FEM2 AD"	"Germline containing young adult "	"H3K14ac_ab52946 "	"H3K14ac "	"DH245 "	"20 degree celsius "	"GSM1217271;GSM1217272;GSM1217273;GSM1217274"	"SRR1198388;SRR1198389"	"SRR1198390;SRR1198391"	"SRR1198389"	"SRR1198391"	"seq-Ab52946_H3K14ac_FEM2_AD_Input_Rep2;seq-Ab52946_H3K14ac_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	17
18	"modENCODE_6254"	"seq-Ab6002 H3K27me3 fem2 AD"	"Germline containing young adult "	"AB6002_H3K27me3_471901 "	"H3K27me3 "	"DH245 "	"20 degree celsius "	"GSM1217457;GSM1217458;GSM1217459;GSM1217460"	"SRR1198569;SRR1198570"	"SRR1198571;SRR1198572"	"SRR1198569"	"SRR1198571"	"seq-Ab6002_H3K27me3_fem2_AD_Input_Rep1;seq-Ab6002_H3K27me3_fem2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	18
